"1","0000","IBM INTERNAL      ","ZF","IBM INTERNAL      ","Z","Exclusions","21","Unassigned          ","UNAS",,"USA ","2016-07-04-05.06.14.067356"
"240","3120","MANUF ELECTRICITY DISTRIBUTION/CTRL APPARATUS  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"241","3120","MANUF ELECTRICITY DISTRIBUTION/CTRL APPARATUS  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"242","3130","MANUFACTURE OF INSULATED WIRE AND CABLE   ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"243","3130","MANUFACTURE OF INSULATED WIRE AND CABLE   ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"244","3140","MANUF ACCUMULATORS/PRIMARY CELLS & BATTERIES  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"245","3140","MANUF ACCUMULATORS/PRIMARY CELLS & BATTERIES  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"246","3150","MANUF ELECTRIC LAMPS & LIGHTING EQUIPMENT   ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"247","3150","MANUF ELECTRIC LAMPS & LIGHTING EQUIPMENT   ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"248","3190","MANUFACTURE OTHER ELECTRICAL EQUIPMENT N.E.C.  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"249","3190","MANUFACTURE OTHER ELECTRICAL EQUIPMENT N.E.C.  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"250","3210","MANUF ELECTRONIC VALVES,TUBES/OTH COMPONENTS  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"251","3210","MANUF ELECTRONIC VALVES,TUBES/OTH COMPONENTS  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"252","3220","MANUF TV/RADIO TRANSMITTERS & APPARATUS   ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"253","3220","MANUF TV/RADIO TRANSMITTERS & APPARATUS   ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"254","3230","MANUF TV/RADIO RECEIVERS,RECORDING APPARATUS  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"255","3230","MANUF TV/RADIO RECEIVERS,RECORDING APPARATUS  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"256","3311","MANUF MEDICAL/SURGICAL ORTHOPAEDIC EQUIPMENT  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"257","3311","MANUF MEDICAL/SURGICAL ORTHOPAEDIC EQUIPMENT  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"258","3312","MANUF DEVICES FOR MEASURING,CHECKING,TESTING  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"259","3312","MANUF DEVICES FOR MEASURING,CHECKING,TESTING  ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"260","3313","MANUF INDUSTRIAL PROCESS CONTROL EQUIPMENT   ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"261","3313","MANUF INDUSTRIAL PROCESS CONTROL EQUIPMENT   ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"262","3320","Manuf Optical Instruments/Photographic Equip  ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"263","3320","Manuf Optical Instruments/Photographic Equip  ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"264","3330","MANUFACTURE OF WATCHES AND CLOCKS    ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"265","3330","MANUFACTURE OF WATCHES AND CLOCKS    ","LA","Electronics      ","L","Electronics","5E","Electronics         ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"266","3410","MANUFACTURE OF MOTOR VEHICLES    ","JA","Automotive OEMs (Manuf of Cars, Light Trucks, Moto","J","Automotive","4A","Automotive          ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"267","3410","MANUFACTURE OF MOTOR VEHICLES    ","JA","Automotive OEMs (Manuf of Cars, Light Trucks, Moto","J","Automotive","4A","Automotive          ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"268","3420","MANUF  MOTOR VEHICLE BODIES, TRAILERS   ","JA","Automotive OEMs (Manuf of Cars, Light Trucks, Moto","J","Automotive","4A","Automotive          ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"269","3420","MANUF  MOTOR VEHICLE BODIES, TRAILERS   ","JA","Automotive OEMs (Manuf of Cars, Light Trucks, Moto","J","Automotive","4A","Automotive          ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"270","3430","MANUF PARTS/ACCESS - MOTOR VEHICLES/ENGINES   ","JB","Automotive Suppliers     ","J","Automotive","4A","Automotive          ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"271","3430","MANUF PARTS/ACCESS - MOTOR VEHICLES/ENGINES   ","JB","Automotive Suppliers     ","J","Automotive","4A","Automotive          ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"272","3511","BUILDING AND REPAIRING OF SHIPS    ","VC","Aerospace & Defense ISU    ","V","Aerospace & Defense","14","Aerospace&Defense   ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"273","3511","BUILDING AND REPAIRING OF SHIPS    ","VC","Aerospace & Defense ISU    ","V","Aerospace & Defense","14","Aerospace&Defense   ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"274","3512","BUILDING/REPAIRING-PLEASURE,SPORTING BOATS   ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"275","3512","BUILDING/REPAIRING-PLEASURE,SPORTING BOATS   ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"276","3520","MANUF RAILWAY-TRAMWAY LOCOM'TVS-ROLLING STOCK  ","JC","Heavy Equipment     ","J","Automotive","4A","Automotive          ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"277","3520","MANUF RAILWAY-TRAMWAY LOCOM'TVS-ROLLING STOCK  ","JC","Heavy Equipment     ","J","Automotive","4A","Automotive          ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"278","3530","MANUFACTURE OF AIRCRAFT AND SPACECRAFT   ","VA","Aerospace & Defense ISU    ","V","Aerospace & Defense","14","Aerospace&Defense   ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"279","3530","MANUFACTURE OF AIRCRAFT AND SPACECRAFT   ","VA","Aerospace & Defense ISU    ","V","Aerospace & Defense","14","Aerospace&Defense   ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"280","357X","O.E.M SALES FOR SUBSEQUENT RESALE    ","ZC","IBM INTERNAL      ","Z","Exclusions","21","Unassigned          ","UNAS",,"USA ","2016-07-04-05.06.14.067356"
"281","3591","MANUFACTURE OF MOTORCYCLES     ","JA","Automotive OEMs (Manuf of Cars, Light Trucks, Moto","J","Automotive","4A","Automotive          ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"282","3591","MANUFACTURE OF MOTORCYCLES     ","JA","Automotive OEMs (Manuf of Cars, Light Trucks, Moto","J","Automotive","4A","Automotive          ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"283","3592","MANUFACTURE OF BICYCLES AND INVALID CARRIAGES  ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"284","3592","MANUFACTURE OF BICYCLES AND INVALID CARRIAGES  ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"285","3599","Manuf-Other Transport Equipment N.E.C.   ","JC","Heavy Equipment     ","J","Automotive","4A","Automotive          ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"286","3599","Manuf-Other Transport Equipment N.E.C.   ","JC","Heavy Equipment     ","J","Automotive","4A","Automotive          ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"287","3610","MANUFACTURE OF FURNITURE     ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"288","3610","MANUFACTURE OF FURNITURE     ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"289","3691","MANUFACTURE OF JEWELLERY AND RELATED ARTICLES  ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"290","3691","MANUFACTURE OF JEWELLERY AND RELATED ARTICLES  ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"291","3692","MANUFACTURE OF MUSICAL INSTRUMENTS    ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"292","3692","MANUFACTURE OF MUSICAL INSTRUMENTS    ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"293","3693","MANUFACTURE OF SPORTS GOODS     ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"294","3693","MANUFACTURE OF SPORTS GOODS     ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"295","3694","MANUFACTURE OF GAMES AND TOYS    ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"296","3694","MANUFACTURE OF GAMES AND TOYS    ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"297","3699","OTHER MANUFACTURING N.E.C.     ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"298","3699","OTHER MANUFACTURING N.E.C.     ","MC","Fabrication & Assembly     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"299","3710","RECYCLING OF METAL WASTE AND SCRAP    ","MJ","Metals       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"300","3710","RECYCLING OF METAL WASTE AND SCRAP    ","MJ","Metals       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"301","3720","RECYCLING OF NON-METAL WASTE AND SCRAP   ","ML","Other Process      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"302","3720","RECYCLING OF NON-METAL WASTE AND SCRAP   ","ML","Other Process      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"303","4010","PRODUCTION & DISTRIBUTION OF ELECTRICITY   ","UA","Electric      ","U","Energy & Utilities","12","Energy & Utilities  ","COMM","Communications","USU ","2016-04-05-16.17.59.906441"
"304","4010","PRODUCTION & DISTRIBUTION OF ELECTRICITY   ","UA","Electric      ","U","Energy & Utilities","12","Energy & Utilities  ","COMM","Communications","WWW ","2016-07-04-05.06.14.067356"
"305","4020","MANUF OF GAS & DISTRIBUTION OF GASEOUS FUELS  ","UB","Gas       ","U","Energy & Utilities","12","Energy & Utilities  ","COMM","Communications","USU ","2016-04-05-16.17.59.906441"
"306","4020","MANUF OF GAS & DISTRIBUTION OF GASEOUS FUELS  ","UB","Gas       ","U","Energy & Utilities","12","Energy & Utilities  ","COMM","Communications","WWW ","2016-07-04-05.06.14.067356"
"307","4030","STEAM AND HOT WATER SUPPLY     ","UD","Water       ","U","Energy & Utilities","12","Energy & Utilities  ","COMM","Communications","USU ","2016-04-05-16.17.59.906441"
"308","4030","STEAM AND HOT WATER SUPPLY     ","UD","Water       ","U","Energy & Utilities","12","Energy & Utilities  ","COMM","Communications","WWW ","2016-07-04-05.06.14.067356"
"309","4100","COLLECTION, PURIFICATION & DISTRIB. OF WATER  ","UD","Water       ","U","Energy & Utilities","12","Energy & Utilities  ","COMM","Communications","USU ","2016-04-05-16.17.59.906441"
"310","4100","COLLECTION, PURIFICATION & DISTRIB. OF WATER  ","UD","Water       ","U","Energy & Utilities","12","Energy & Utilities  ","COMM","Communications","WWW ","2016-07-04-05.06.14.067356"
"311","4510","SITE PREPARATION      ","ME","Construction/Architecture/Engineering   ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"312","4510","SITE PREPARATION      ","ME","Construction/Architecture/Engineering   ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"313","4520","BUILDING CONSTRUCTIONS, CIVIL ENGINEERING   ","ME","Construction/Architecture/Engineering   ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"314","4520","BUILDING CONSTRUCTIONS, CIVIL ENGINEERING   ","ME","Construction/Architecture/Engineering   ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"315","4530","BUILDING INSTALLATION     ","ME","Construction/Architecture/Engineering   ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"316","4530","BUILDING INSTALLATION     ","ME","Construction/Architecture/Engineering   ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"317","4540","BUILDING COMPLETION      ","ME","Construction/Architecture/Engineering   ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"318","4540","BUILDING COMPLETION      ","ME","Construction/Architecture/Engineering   ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"319","4550","RENTING CONSTR/DEMOLITION EQUIP WITH OPERATOR  ","WQ","Wholesale - Services     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"320","4550","RENTING CONSTR/DEMOLITION EQUIP WITH OPERATOR  ","WQ","Wholesale - Services     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"321","4888","CABLE TV & OTH SVCS      ","KA","Cable       ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","USU ","2016-04-05-16.17.59.906441"
"322","4888","CABLE TV & OTH SVCS      ","KA","Cable       ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","WWW ","2016-07-04-05.06.14.067356"
"323","5010","SALE OF MOTOR VEHICLES     ","JD","Distributors, Importers, Retailers   ","J","Automotive","4A","Automotive          ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"324","5010","SALE OF MOTOR VEHICLES     ","JD","Distributors, Importers, Retailers   ","J","Automotive","4A","Automotive          ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"325","5020","MAINTENANCE AND REPAIR OF MOTOR VEHICLES   ","WQ","Wholesale - Services     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"326","5020","MAINTENANCE AND REPAIR OF MOTOR VEHICLES   ","WQ","Wholesale - Services     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"327","5030","SALE OF MOTOR VEHICLE PARTS AND ACCESSORIES   ","RE","Retail - Specialty     ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"328","5030","SALE OF MOTOR VEHICLE PARTS AND ACCESSORIES   ","RE","Retail - Specialty     ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"329","5040","SALE,MAINT,REPAIR-MOTOR CYCLE-PARTS/ACCESS.   ","JD","Distributors, Importers, Retailers   ","J","Automotive","4A","Automotive          ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"330","5040","SALE,MAINT,REPAIR-MOTOR CYCLE-PARTS/ACCESS.   ","JD","Distributors, Importers, Retailers   ","J","Automotive","4A","Automotive          ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"331","5050","RETAIL SALE OF AUTOMOTIVE FUEL    ","PO","Petroleum      ","P","Chemicals & Petroleum","15","Chemicals&Petroleum ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"332","5050","RETAIL SALE OF AUTOMOTIVE FUEL    ","PO","Petroleum      ","P","Chemicals & Petroleum","15","Chemicals&Petroleum ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"333","5110","WHOLESALE ON A FEE OR CONTRACT BASIS   ","WQ","Wholesale - Services     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"334","5110","WHOLESALE ON A FEE OR CONTRACT BASIS   ","WQ","Wholesale - Services     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"335","5121","WHOLESALE -AGRIC RAW MATERIALS/LIVE ANIMALS   ","WN","Wholesale - Food/Food Svc/Drug    ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"336","5121","WHOLESALE -AGRIC RAW MATERIALS/LIVE ANIMALS   ","WN","Wholesale - Food/Food Svc/Drug    ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"337","5122","WHOLESALE OF FOOD, BEVERAGES AND TOBACCO   ","WN","Wholesale - Food/Food Svc/Drug    ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"338","5122","WHOLESALE OF FOOD, BEVERAGES AND TOBACCO   ","WN","Wholesale - Food/Food Svc/Drug    ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"339","5131","WHOLESALE OF TEXTILES, CLOTHING  AND FOOTWEAR  ","WO","Wholesale - Non-Durables    ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"340","5131","WHOLESALE OF TEXTILES, CLOTHING  AND FOOTWEAR  ","WO","Wholesale - Non-Durables    ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"341","5139","WHOLESALE OF OTHER HOUSEHOLD GOODS    ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"342","5139","WHOLESALE OF OTHER HOUSEHOLD GOODS    ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"343","5141","WHOLESALE OF - SOLID,LIQUID & GASEOUS FUELS   ","PO","Petroleum      ","P","Chemicals & Petroleum","15","Chemicals&Petroleum ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"344","5141","WHOLESALE OF - SOLID,LIQUID & GASEOUS FUELS   ","PO","Petroleum      ","P","Chemicals & Petroleum","15","Chemicals&Petroleum ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"345","5142","WHOLESALE OF METALS AND METAL ORES    ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"346","5142","WHOLESALE OF METALS AND METAL ORES    ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"347","5143","WHOLESALE -CONSTR MAT'LS,H'WARE,PLUMB,HEATING  ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"348","5143","WHOLESALE -CONSTR MAT'LS,H'WARE,PLUMB,HEATING  ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"349","5149","WHOLESALE -OTH INTERMED PRODUCTS, WASTE/SCRAP  ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"350","5149","WHOLESALE -OTH INTERMED PRODUCTS, WASTE/SCRAP  ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"351","5151","Wholesale - Computers, Peripheral Equipment and Software ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"352","5151","Wholesale - Computers, Peripheral Equipment and Software ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"353","5152","Wholesale - Electronic/Telecommunications Parts and Equipment","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"354","5152","Wholesale - Electronic/Telecommunications Parts and Equipment","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"355","5159","Wholesale - Other Machinery, Equipment and Supplies  ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"356","5159","Wholesale - Other Machinery, Equipment and Supplies  ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"357","5190","OTHER WHOLESALE      ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"358","5190","OTHER WHOLESALE      ","WP","Wholesale - Durables     ","W","Wholesale Distribution & Services","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"359","5211","Retail Sale - Food/Bev/Tobacco/Predommon-Spec  ","RF","Retail - Retail Food     ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"360","5211","Retail Sale - Food/Bev/Tobacco/Predommon-Spec  ","RF","Retail - Retail Food     ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"361","5219","OTHER RETAIL SALE IN NON-SPECIALIZED STORES   ","RC","Retail - Department Stores    ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"362","5219","OTHER RETAIL SALE IN NON-SPECIALIZED STORES   ","RC","Retail - Department Stores    ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"363","5220","RETAIL SALE - FOOD/BEV/TOBACCO SPEC. STORES   ","RF","Retail - Retail Food     ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"364","5220","RETAIL SALE - FOOD/BEV/TOBACCO SPEC. STORES   ","RF","Retail - Retail Food     ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"365","5231","RETAIL SALE -PHARM/MEDICAL, COSMETIC ARTICLES  ","RG","Retail - Pharmacy/Drug     ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"366","5231","RETAIL SALE -PHARM/MEDICAL, COSMETIC ARTICLES  ","RG","Retail - Pharmacy/Drug     ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"367","5232","RETAIL SALE-TEXTILE,CLOTHING,FOOTWEAR,LEATHER  ","RE","Retail - Specialty     ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"368","5232","RETAIL SALE-TEXTILE,CLOTHING,FOOTWEAR,LEATHER  ","RE","Retail - Specialty     ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"369","5233","RETAIL SALE -HOME APPLIANCES, ARTICLES/EQUIP  ","RR","Retail - Hard Goods     ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"370","5233","RETAIL SALE -HOME APPLIANCES, ARTICLES/EQUIP  ","RR","Retail - Hard Goods     ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"371","5234","RETAIL SALE OF HARDWARE, PAINT AND GLASS   ","RR","Retail - Hard Goods     ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"372","5234","RETAIL SALE OF HARDWARE, PAINT AND GLASS   ","RR","Retail - Hard Goods     ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"373","5239","OTHER RETAIL SALE IN SPECIALIZED STORES   ","RE","Retail - Specialty     ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"374","5239","OTHER RETAIL SALE IN SPECIALIZED STORES   ","RE","Retail - Specialty     ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"375","5240","RETAIL SALE OF SECOND-HAND GOODS IN STORES   ","RE","Retail - Specialty     ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"376","5240","RETAIL SALE OF SECOND-HAND GOODS IN STORES   ","RE","Retail - Specialty     ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
